product_id,product_name,supplier_id,category_id,quantity_per_unit,units_in_stock,units_on_order,reorder_level,discontinued
11,"Queso Cabrales",5,4,"1 kg pkg.",22,30,30,0
12,"Queso Manchego La Pastora",5,4,"10 - 500 g pkgs.",86,0,0,0
2,Chang,1,1,"24 - 12 oz bottles",17,40,25,0
72,"Mozzarella di Giovanni",14,4,"24 - 200 g pkgs.",14,0,0,0
5,"Chef Anton's Gumbo Mix",2,2,"24 - 200 g pkgs.",0,0,0,1
5,"Chef Anton's Gumbo Mix",2,2,"36 boxes",0,0,0,1
7,"Uncle Bob's Organic Dried Pears",3,7,"12 - 1 lb pkgs.",15,0,10,0
14,Tofu,6,7,"40 - 100 g pkgs.",35,0,0,0
63,Vegie-spread,7,2,"15 - 625 g jars",24,0,5,0
42,"Singaporean Hokkien Fried Mee",20,5,"32 - 1 kg pkgs.",26,0,0,1
